046,Paras,Mushroom Pokemon,bug,grass,Effect Spore and Dry Skin and Damp,5.4,0.3,35,70,55,45,55,25,0,Paras
047,Parasect,Mushroom Pokemon,bug,grass,Effect Spore and Dry Skin and Damp,29.5,1,60,95,80,60,80,30,0,Parasect
048,Venonat,Insect Pokemon,bug,poison,Compoundeyes and Tinted Lens and Run Away,30,1,60,55,50,40,55,45,0,Venonat
049,Venomoth,Poison Moth Pokemon,bug,poison,Shield Dust and Tinted Lens and Wonder Skin,12.5,1.5,70,65,60,90,75,90,0,Venomoth
050,Diglett,Mole Pokemon,ground,,Sand Veil and Arena Trap and Sand Force and Sand Veil and Tangling Hair and Sand Force,0.8,0.2,10,55,25,35,45,95,1,Diglett
051,Dugtrio,Mole Pokemon,ground,,Sand Veil and Arena Trap and Sand Force and Sand Veil and Tangling Hair and Sand Force,33.3,0.7,35,100,50,50,70,120,1,Dugtrio
052,Meowth,Scratch Cat Pokemon,normal,,Pickup and Technician and Unnerve,4.2,0.4,40,45,35,40,40,90,1,Meowth
053,Persian,Classy Cat Pokemon,normal,,Limber and Technician and Unnerve,1.1,32,65,70,60,65,65,115,1,Persian
054,Psyduck,Duck Pokemon,water,,Damp and Cloud Nine and Swift Swim,19.6,0.8,50,52,48,65,50,55,0,Psyduck
055,Golduck,Duck Pokemon,water,,Damp and Cloud Nine and Swift Swim,76.6,1.7,80,82,78,95,80,85,0,Golduck
056,Mankey,Pig Monkey Pokemon,fighting,,Vital Spirit and Anger Point and Defiant,28,0.5,40,80,35,35,45,70,0,Mankey
057,Primeape,Pig Monkey Pokemon,fighting,,Vital Spirit and Anger Point and Defiant,32,1,65,105,60,60,70,95,0,Primeape
058,Growlithe,Puppy Pokemon,fire,,Intimidate and Flash Fire and Justified,19,0.7,55,70,45,70,50,60,0,Growlithe
059,Arcanine,Legendary Pokemon,fire,,Intimidate and Flash Fire and Justified,155,1.9,90,110,80,100,80,95,0,Arcanine
060,Poliwag,Tadpole Pokemon,water,,Water Absorb and Damp and Swift Swim,12.4,0.6,40,50,40,40,40,90,0,Poliwag
061,Poliwhirl,Tadpole Pokemon,water,,Water Absorb and Damp and Swift Swim,20,1,65,65,65,50,50,90,0,Poliwhirl
062,Poliwrath,Tadpole Pokemon,water,fighting,Water Absorb and Damp and Swift Swim,54,1.3,90,95,95,70,90,70,0,Poliwrath
063,Abra,Psi Pokemon,psychic,,Synchronize and Inner Focus and Magic Guard,19.5,0.9,25,20,15,105,55,90,0,Abra
064,Kadabra,Psi Pokemon,psychic,,Synchronize and Inner Focus and Magic Guard,56.5,1.3,40,35,30,120,70,105,0,Kadabra
065,Alakazam,Psi Pokemon,psychic,,Synchronize and Inner Focus and Magic Guard,48,1.5,55,50,45,135,95,120,1,Alakazam
066,Machop,Superpower Pokemon,fighting,,Guts and No Guard and Steadfast,19.5,0.8,70,80,50,35,35,35,0,Machop
067,Machoke,Superpower Pokemon,fighting,,Guts and No Guard and Steadfast,70.5,1.5,80,100,70,50,60,45,0,Machoke
068,Machamp,Superpower Pokemon,fighting,,Guts and No Guard and Steadfast,130,1.6,90,130,80,65,85,55,0,Machamp
069,Bellsprout,Flower Pokemon,grass,poison,Chlorophyll and Gluttony,4,0.7,50,75,35,70,30,40,0,Bellsprout
070,Weepinbell,Flycatcher Pokemon,grass,poison,Chlorophyll and Gluttony,6.4,1,65,90,50,85,45,55,0,Weepinbell
071,Victreebel,Flycatcher Pokemon,grass,poison,Chlorophyll and Gluttony,15.5,1.7,80,105,65,100,70,70,0,Victreebel
072,Tentacool,Jellyfish Pokemon,water,poison,Clear Body and Liquid Ooze and Rain Dish,45.5,0.9,40,40,35,50,100,70,0,Tentacool
073,Tentacruel,Jellyfish Pokemon,water,poison,Clear Body and Liquid Ooze and Rain Dish,55,1.6,80,70,65,80,120,100,0,Tentacruel
074,Geodude,Rock Pokemon,rock,ground,Rock Head and Sturdy and Sand Veil,20,0.4,40,80,100,30,30,20,1,Geodude
075,Graveler,Rock Pokemon,rock,ground,Rock Head and Sturdy and Sand Veil,105,1,55,95,115,45,45,35,1,Graveler
076,Golem,Megaton Pokemon,rock,ground,Rock Head and Sturdy and Sand Veil,300,1.4,80,120,130,55,65,45,1,Golem
077,Ponyta,Fire Horse Pokemon,fire,,Run Away and Flash Fire and Flame Body,30,1,50,85,55,65,65,90,0,Ponyta
078,Rapidash,Fire Horse Pokemon,fire,,Run Away and Flash Fire and Flame Body,95,1.7,65,100,70,80,80,105,0,Rapidash
079,Slowpoke,Dopey Pokemon,water,psychic,Oblivious and Own Tempo and Regenerator,36,1.2,90,65,65,40,40,15,0,Slowpoke
080,Slowbro,Hermit Crab Pokemon,water,psychic,Oblivious and Own Tempo and Regenerator,78.5,1.6,95,75,110,100,80,30,1,Slowbro
081,Magnemite,Magnet Pokemon,electric,steel,Magnet Pull and Sturdy and Analytic,6,0.3,25,35,70,95,55,45,0,Magnemite
082,Magneton,Magnet Pokemon,electric,steel,Magnet Pull and Sturdy and Analytic,60,1,50,60,95,120,70,70,0,Magneton
083,Farfetchd,Wild Duck Pokemon,normal,flying,Keen Eye and Inner Focus and Defiant,15,0.8,52,90,55,58,62,60,0,Farfetchd
084,Doduo,Twin Bird Pokemon,normal,flying,Run Away and Early Bird and Tangled Feet,39.2,1.4,35,85,45,35,35,75,0,Doduo
085,Dodrio,Triple Bird Pokemon,normal,flying,Run Away and Early Bird and Tangled Feet,85.2,1.8,60,110,70,60,60,110,0,Dodrio
086,Seel,Sea Lion Pokemon,water,,Thick Fat and Hydration and Ice Body,90,1.1,65,45,55,45,70,45,0,Seel
087,Dewgong,Sea Lion Pokemon,water,ice,Thick Fat and Hydration and Ice Body,120,1.7,90,70,80,70,95,70,0,Dewgong
088,Grimer,Sludge Pokemon,poison,,Stench and Sticky Hold and Poison Touch,30,0.9,80,80,50,40,50,25,1,Grimer
089,Muk,Sludge Pokemon,poison,,Stench and Sticky Hold and Poison Touch,30,1.2,105,105,75,65,100,50,1,Muk
090,Shellder,Bivalve Pokemon,water,,Shell Armor and Skill Link and Overcoat,4,0.3,30,65,100,45,25,40,0,Shellder
091,Cloyster,Bivalve Pokemon,water,ice,Shell Armor and Skill Link and Overcoat,132.5,1.5,50,95,180,85,45,70,0,Cloyster
092,Gastly,Gas Pokemon,ghost,poison,Levitate,0.1,1.3,30,35,30,100,35,80,0,Gastly
093,Haunter,Gas Pokemon,ghost,poison,Levitate,0.1,1.6,45,50,45,115,55,95,0,Haunter
094,Gengar,Shadow Pokemon,ghost,poison,Cursed Body,40.5,1.5,60,65,60,130,75,110,1,Gengar
095,Onix,Rock Snake Pokemon,rock,ground,Rock Head and Sturdy and Weak Armor,210,8.8,35,45,160,30,45,70,0,Onix
096,Drowzee,Hypnosis Pokemon,psychic,,Insomnia and Forewarn and Inner Focus,32.4,1,60,48,45,43,90,42,0,Drowzee
097,Hypno,Hypnosis Pokemon,psychic,,Insomnia and Forewarn and Inner Focus,75.6,1.6,85,73,70,73,115,67,0,Hypno
098,Krabby,River Crab Pokemon,water,,Hyper Cutter and Shell Armor and Sheer Force,6.5,0.4,30,105,90,25,25,50,0,Krabby
099,Kingler,Pincer Pokemon,water,,Hyper Cutter and Shell Armor and Sheer Force,60,1.3,55,130,115,50,50,75,0,Kingler
100,Voltorb,Ball Pokemon,electric,,Soundproof and Static and Aftermath,10.4,0.5,40,30,50,55,55,100,0,Voltorb
101,Electrode,Ball Pokemon,electric,,Soundproof and Static and Aftermath,66.6,1.2,60,50,70,80,80,150,0,Electrode
102,Exeggcute,Egg Pokemon,grass,psychic,Chlorophyll and Harvest,2.5,0.4,60,40,80,60,45,40,0,Exeggcute
103,Exeggutor,Coconut Pokemon,grass,psychic,Chlorophyll and Harvest,120,2,95,95,85,125,75,55,1,Exeggutor
104,Cubone,Lonely Pokemon,ground,,Rock Head and Lightningrod and Battle Armor,6.5,0.4,50,50,95,40,50,35,0,Cubone
105,Marowak,Bone Keeper Pokemon,ground,,Rock Head and Lightningrod and Battle Armor,45,1,60,80,110,50,80,45,1,Marowak
106,Hitmonlee,Kicking Pokemon,fighting,,Limber and Reckless and Unburden,49.8,1.5,50,120,53,35,110,87,0,Hitmonlee
107,Hitmonchan,Punching Pokemon,fighting,,Keen Eye and Iron Fist and Inner Focus,50.2,1.4,50,105,79,35,110,76,0,Hitmonchan
108,Lickitung,Licking Pokemon,normal,,Own Tempo and Oblivious and Cloud Nine,65.5,1.2,90,55,75,60,75,30,0,Lickitung
109,Koffing,Poison Gas Pokemon,poison,,Levitate,1,0.6,40,65,95,60,45,35,0,Koffing
110,Weezing,Poison Gas Pokemon,poison,,Levitate,9.5,1.2,65,90,120,85,70,60,0,Weezing
111,Rhyhorn,Spikes Pokemon,ground,rock,Lightningrod and Rock Head and Reckless,115,1,80,85,95,30,30,25,0,Rhyhorn
112,Rhydon,Drill Pokemon,ground,rock,Lightningrod and Rock Head and Reckless,120,1.9,105,130,120,45,45,40,0,Rhydon
113,Chansey,Egg Pokemon,normal,,Natural Cure and Serene Grace and Healer,34.6,1.1,250,5,5,35,105,50,0,Chansey
114,Tangela,Vine Pokemon,grass,,Chlorophyll and Leaf Guard and Regenerator,35,1,65,55,115,100,40,60,0,Tangela
115,Kangaskhan,Parent Pokemon,normal,,Early Bird and Scrappy and Inner Focus,80,2.2,105,95,80,40,80,90,1,Kangaskhan
116,Horsea,Dragon Pokemon,water,,Swift Swim and Sniper and Damp,8,0.4,30,40,70,70,25,60,0,Horsea
117,Seadra,Dragon Pokemon,water,,Poison Point and Sniper and Damp,25,1.2,55,65,95,95,45,85,0,Seadra
118,Goldeen,Goldfish Pokemon,water,,Swift Swim and Water Veil and Lightningrod,15,0.6,45,67,60,35,50,63,0,Goldeen
119,Seaking,Goldfish Pokemon,water,,Swift Swim and Water Veil and Lightningrod,39,1.3,80,92,65,65,80,68,0,Seaking
120,Staryu,Starshape Pokemon,water,,Illuminate and Natural Cure and Analytic,34.5,0.8,30,45,55,70,55,85,0,Staryu
121,Starmie,Mysterious Pokemon,water,psychic,Illuminate and Natural Cure and Analytic,80,1.1,60,75,85,100,85,115,0,Starmie
122,Mr. Mime,Barrier Pokemon,psychic,fairy,Soundproof and Filter and Technician,54.5,1.3,40,45,65,100,120,90,0,mrmime
123,Scyther,Mantis Pokemon,bug,flying,Swarm and Technician and Steadfast,56,1.5,70,110,80,55,80,105,0,Scyther
124,Jynx,Humanshape Pokemon,ice,psychic,Oblivious and Forewarn and Dry Skin,40.6,1.4,65,50,35,115,95,95,0,Jynx
125,Electabuzz,Electric Pokemon,electric,,Static and Vital Spirit,30,1.1,65,83,57,95,85,105,0,Electabuzz
126,Magmar,Spitfire Pokemon,fire,,Flame Body and Vital Spirit,44.5,1.3,65,95,57,100,85,93,0,Magmar
127,Pinsir,Stagbeetle Pokemon,bug,,Hyper Cutter and Mold Breaker and Moxie,55,1.5,65,125,100,55,70,85,1,Pinsir
128,Tauros,Wild Bull Pokemon,normal,,Intimidate and Anger Point and Sheer Force,88.4,1.4,75,100,95,40,70,110,0,Tauros
129,Magikarp,Fish Pokemon,water,,Swift Swim and Rattled,10,0.9,20,10,55,15,20,80,0,Magikarp
130,Gyarados,Atrocious Pokemon,water,flying,Intimidate and Moxie,235,6.5,95,125,79,60,100,81,1,Gyarados
131,Lapras,Transport Pokemon,water,ice,Water Absorb and Shell Armor and Hydration,220,2.5,130,85,80,85,95,60,0,Lapras
132,Ditto,Transform Pokemon,normal,,Limber and Imposter,4,0.3,48,48,48,48,48,48,0,Ditto
133,Eevee,Evolution Pokemon,normal,,Run Away and Adaptability and Anticipation,6.5,0.3,55,55,50,45,65,55,0,Eevee
134,Vaporeon,Bubble Jet Pokemon,water,,Water Absorb and Hydration,29,1,130,65,60,110,95,65,0,Vaporeon
135,Jolteon,Lightning Pokemon,electric,,Volt Absorb and Quick Feet,24.5,0.8,65,65,60,110,95,130,0,Jolteon
136,Flareon,Flame Pokemon,fire,,Flash Fire and Guts,25,0.9,65,130,60,95,110,65,0,Flareon
137,Porygon,Virtual Pokemon,normal,,Trace and Download and Analytic,36.5,0.8,65,60,70,85,75,40,0,Porygon
138,Omanyte,Spiral Pokemon,rock,water,Swift Swim and Shell Armor and Weak Armor,7.5,0.4,35,40,100,90,55,35,0,Omanyte
139,Omastar,Spiral Pokemon,rock,water,Swift Swim and Shell Armor and Weak Armor,35,1,70,60,125,115,70,55,0,Omastar
140,Kabuto,Shellfish Pokemon,rock,water,Swift Swim and Battle Armor and Weak Armor,11.5,0.5,30,80,90,55,45,55,0,Kabuto
141,Kabutops,Shellfish Pokemon,rock,water,Swift Swim and Battle Armor and Weak Armor,40.5,1.3,60,115,105,65,70,80,0,Kabutops
142,Aerodactyl,Fossil Pokemon,rock,flying,Rock Head and Pressure and Unnerve,59,1.8,80,105,65,60,75,130,1,Aerodactyl
143,Snorlax,Sleeping Pokemon,normal,,Immunity and Thick Fat and Gluttony,460,2.1,160,110,65,65,110,30,0,Snorlax
144,Articuno,Freeze Pokemon,ice,flying,Pressure and Snow Cloak,55.4,1.7,90,85,100,95,125,85,0,Articuno
145,Zapdos,Electric Pokemon,electric,flying,Pressure and Static,52.6,1.6,90,90,85,125,90,100,0,Zapdos
146,Moltres,Flame Pokemon,fire,flying,Pressure and Flame Body,60,2,90,100,90,125,85,90,0,Moltres
147,Dratini,Dragon Pokemon,dragon,,Shed Skin and Marvel Scale,3.3,1.8,41,64,45,50,50,50,0,Dratini
148,Dragonair,Dragon Pokemon,dragon,,Shed Skin and Marvel Scale,16.5,4,61,84,65,70,70,70,0,Dragonair
149,Dragonite,Dragon Pokemon,dragon,flying,Inner Focus and Multiscale,210,2.2,91,134,95,100,100,80,0,Dragonite
150,Mewtwo,Genetic Pokemon,psychic,,Pressure and Unnerve,122,2,106,110,90,154,90,130,1,Mewtwo
151,Mew,New Species Pokemon,psychic,,Synchronize,4,0.4,100,100,100,100,100,100,0,Mew
152,Filler,-,-,-,0,0,0,0,0,0,0,0,0,-
